,ScripToken,LTPrice,LTQuantity,LTDate,BidPrice,BidQuantity,OfferPrice,OfferQuantity,TotalTradedQty,TradedQuantity,AverageTradePrice,Open,High,Low,Close,PerChange,TurnOver,YearlyHigh,YearlyLow,UpperCkt,LowerCkt,Difference,CostofCarry1,CostOfCarry2,ChangeIndicator,SpotPrice,OITime,OI,OIHigh,OILow,TotalTrades,TradeValueFlag,Trend,SunFlag,AllnoneFlag,Tender,PriceQuotation,TotalBuyQty,TotalSellQty,SegmentId,OIDifference,OIDiffPercentage
905,46287,830,75,06/24/2020 09:35:54,825,900,830,825,1750650,525,793,1150,1150,600,1280,-3516,13900,0,0,0,0,-450,0,0,-,1052265,09:35:54,2171475,2171475,2045625,0,,,,,0,,409425,144825,,86400,414
906,46288,30725,75,06/24/2020 09:35:51,30685,525,30830,75,197025,75,30689,30945,32140,29285,28440,803,60500,0,0,0,0,2285,0,0,+,1052250,09:35:51,842475,862050,842475,0,,,,,0,,422250,74250,,-19575,-227
907,46290,1160,150,06/24/2020 09:35:53,1160,900,1170,2400,2642100,600,1142,1490,1490,910,1795,-3538,30200,0,0,0,0,-635,0,0,-,1052265,09:35:54,2677275,2716125,2668125,0,,,,,0,,263700,249150,,9150,34
908,46293,21555,150,06/24/2020 09:35:53,21535,150,21640,75,858825,300,21278,21310,22955,20235,19460,1077,182700,0,0,0,0,2095,0,0,+,1052220,09:35:53,1488525,1590225,1488525,0,,,,,0,,492675,88425,,-101700,-640
909,106181,2315,250,06/24/2020 09:35:50,2285,250,2350,500,51250,250,2176,1810,2400,1810,2135,843,1100,0,0,0,0,180,0,0,+,204925,09:35:50,161000,164250,161000,0,,,,,0,,97750,87000,,-1000,-62
910,46294,1950,300,06/24/2020 09:35:54,1945,75,1955,1125,3846075,3075,1961,2170,2295,1580,2895,-3264,75400,0,0,0,0,-945,0,0,-,1052265,09:35:53,3272550,3272550,2883750,0,,,,,0,,256050,305175,,388800,1348
911,46298,7430,75,06/24/2020 09:35:53,7425,750,7460,600,6683250,8100,7357,6985,8300,6615,6475,1475,491700,0,0,0,0,955,0,0,+,1052220,09:35:53,4095675,4095675,3616275,0,,,,,0,,619125,415350,,479400,1326
912,64845,7220,300,06/24/2020 09:35:39,7200,900,7295,300,6000,300,7275,7230,7480,7200,7645,-556,400,0,0,0,0,-425,0,0,-,204900,09:24:12,39300,39300,38100,0,,,,,0,,29100,30000,,1200,315
913,106183,755,250,06/24/2020 09:35:54,745,250,765,250,61250,250,713,655,895,600,785,-382,400,0,0,0,0,-30,0,0,-,204810,09:35:54,334500,339250,334000,0,,,,,0,,99500,98750,,0,0
914,64848,7045,300,06/24/2020 09:35:39,7005,300,7100,300,32700,600,6961,6550,7200,6550,6560,739,2300,0,0,0,0,485,0,0,+,204885,09:35:25,96000,96000,82200,0,,,,,0,,36600,37800,,13800,1679
